City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Saint-Philippe,RE,-21.3585,55.7679,67.59,69,50,15.75,scattered clouds
1,Yar-Sale,RU,66.8333,70.8333,44.53,69,99,15.03,overcast clouds
2,Hermanus,ZA,-34.4187,19.2345,54.81,80,40,18.59,scattered clouds
3,Lagoa,PT,39.05,-27.9833,62.01,78,100,4.7,overcast clouds
4,Hasaki,JP,35.7333,140.8333,64.8,72,100,15.14,overcast clouds
5,Vanavara,RU,60.34,102.2797,74.41,45,63,4.72,broken clouds
6,Mataura,NZ,-46.1927,168.8643,41.49,93,100,13.82,overcast clouds
7,Longyearbyen,SJ,78.2186,15.6401,40.84,60,75,8.05,broken clouds
8,Provideniya,RU,64.3833,-173.3,35.71,87,100,13.42,light rain
9,Vaini,TO,-21.2,-175.2,80.76,78,20,5.75,few clouds
10,Kaitangata,NZ,-46.2817,169.8464,40.96,83,94,20.11,light rain
11,Rikitea,PF,-23.1203,-134.9692,73.31,65,100,7.52,overcast clouds
12,Torbay,CA,47.6666,-52.7314,42.28,93,75,6.91,fog
13,Belmopan,BZ,17.25,-88.7667,75.58,98,100,4.27,overcast clouds
14,Barrow,US,71.2906,-156.7887,37.42,75,0,17.27,clear sky
15,Khandyga,RU,62.6667,135.6,65.46,50,57,7.63,broken clouds
16,Fort Nelson,CA,58.8053,-122.7002,69.39,24,40,2.3,scattered clouds
17,Butaritari,KI,3.0707,172.7902,82.02,74,13,14.85,few clouds
18,Behat,IN,30.1667,77.6167,102.83,17,6,10.4,clear sky
19,Albany,US,42.6001,-73.9662,63.01,76,100,5.77,overcast clouds
20,Busselton,AU,-33.65,115.3333,64.45,60,10,11.99,clear sky
21,Dikson,RU,73.5069,80.5464,31.1,89,85,10.56,overcast clouds
22,Qaanaaq,GL,77.484,-69.3632,21.65,83,42,3.36,scattered clouds
23,San Quintin,MX,30.4833,-115.95,61.92,86,0,14.76,clear sky
24,Dali,CN,25.7,100.1833,60.19,89,100,3.83,overcast clouds
25,Kaoma,ZM,-14.7833,24.8,48.2,59,0,5.3,clear sky
26,Lata,PT,40.1629,-8.3327,67.08,78,73,2.08,broken clouds
27,Padang,ID,-0.9492,100.3543,84.25,76,100,0.11,overcast clouds
28,Yulara,AU,-25.2406,130.9889,71.74,22,0,6.31,clear sky
29,Matagami,CA,49.7502,-77.6328,60.91,77,0,5.75,clear sky
30,Souillac,MU,-20.5167,57.5167,71.98,68,40,14.97,scattered clouds
31,Half Moon Bay,US,37.4636,-122.4286,70.11,70,0,25.32,haze
32,New Norfolk,AU,-42.7826,147.0587,53.89,64,79,2.95,broken clouds
33,Ushuaia,AR,-54.8,-68.3,40.66,87,40,13.8,scattered clouds
34,Cap-Aux-Meules,CA,47.3821,-61.8597,53.62,94,100,10.36,overcast clouds
35,Tiksi,RU,71.6872,128.8694,49.93,57,81,2.59,broken clouds
36,Castro,BR,-24.7911,-50.0119,41.7,95,0,4.25,clear sky
37,Burgos,ES,42.3394,-3.7079,59.41,94,31,6.91,scattered clouds
38,Maragogi,BR,-9.0122,-35.2225,73.9,88,27,1.28,scattered clouds
39,Kapaa,US,22.0752,-159.319,84.18,79,100,17.27,overcast clouds
40,Alihe,CN,50.5667,123.7167,65.25,86,100,5.7,overcast clouds
41,Jumla,NP,29.2747,82.1838,73.58,40,18,5.93,few clouds
42,Shunyi,CN,40.125,116.6453,76.95,57,40,6.71,scattered clouds
43,Veraval,IN,20.9,70.3667,86.04,69,50,9.26,scattered clouds
44,Mar Del Plata,AR,-38.0023,-57.5575,51.1,75,0,9.22,clear sky
45,Bethel,US,41.3712,-73.414,71.91,72,0,1.01,clear sky
46,Ternate,ID,0.8,127.4,85.55,63,89,2.68,overcast clouds
47,Misratah,LY,32.3754,15.0925,70.86,79,0,6.93,clear sky
48,Port Elizabeth,ZA,-33.918,25.5701,62.89,48,0,5.75,clear sky
49,Hambantota,LK,6.1241,81.1185,86.34,70,20,9.22,few clouds
50,Bambous Virieux,MU,-20.3428,57.7575,73.22,68,40,14.97,scattered clouds
51,Cape Town,ZA,-33.9258,18.4232,54.1,90,75,8.05,heavy intensity rain
52,Hobart,AU,-42.8794,147.3294,56.23,68,75,9.22,broken clouds
53,Akcakoca,TR,41.0866,31.1162,66.67,88,39,4.27,scattered clouds
54,Palmerston,AU,-12.486,130.9833,87.89,27,43,4.99,scattered clouds
55,Piracanjuba,BR,-17.3028,-49.0167,61.81,32,63,3.56,broken clouds
56,Laguna,US,38.421,-121.4238,79.09,20,0,13.8,clear sky
57,Atuona,PF,-9.8,-139.0333,77.13,75,80,18.12,broken clouds
58,Burnie,AU,-41.0667,145.9167,53.92,66,100,5.06,overcast clouds
59,Zlobin,HR,45.2924,14.6541,63.7,54,20,4.61,few clouds
60,Kikwit,CD,-5.041,18.8162,69.13,70,85,1.57,overcast clouds
61,Namibe,AO,-15.1961,12.1522,65.16,61,0,7.29,clear sky
62,Tingi,TZ,-11.3,35.0333,54.48,71,5,2.42,clear sky
63,Airai,TL,-8.9266,125.4092,68.05,77,92,3.31,overcast clouds
64,Walvis Bay,NA,-22.9575,14.5053,58.15,77,57,5.75,broken clouds
65,Karratha,AU,-20.7377,116.8463,81.59,30,29,14.9,light rain
66,Salair,RU,54.2312,85.7972,77.77,55,71,7.87,broken clouds
67,Hilo,US,19.7297,-155.09,81.28,95,100,10.36,heavy intensity rain
68,Jamestown,US,42.097,-79.2353,63.95,40,100,2.57,overcast clouds
69,Samagaltay,RU,50.6022,95.0047,75.07,45,82,2.93,broken clouds
70,Hirara,JP,24.8,125.2833,88.07,84,40,21.85,scattered clouds
71,Xuddur,SO,4.1213,43.8894,71.38,73,49,18.61,scattered clouds
72,Katsuura,JP,35.1333,140.3,66.61,75,100,12.91,heavy intensity rain
73,Stanford,US,37.4241,-122.1661,70.09,61,0,17.27,clear sky
74,Punta Arenas,CL,-53.15,-70.9167,37.51,87,0,11.5,clear sky
75,Kodiak,US,57.79,-152.4072,47.71,93,100,10.36,light rain
76,Avarua,CK,-21.2078,-159.775,75.25,88,100,13.09,overcast clouds
77,Hofn,IS,64.2539,-15.2082,50.07,99,100,10.18,overcast clouds
78,Saskylakh,RU,71.9167,114.0833,73.13,26,100,4.85,overcast clouds
79,Cabo San Lucas,MX,22.8909,-109.9124,90.7,56,1,10,clear sky
80,Tasiilaq,GL,65.6145,-37.6368,39.36,98,100,10.8,moderate rain
81,Barreiras,BR,-12.1528,-44.99,69.12,66,87,0.89,overcast clouds
82,Port Alfred,ZA,-33.5906,26.891,68.18,51,100,1.99,overcast clouds
83,Tadine,NC,-21.55,167.8833,71.92,94,100,16.91,moderate rain
84,Yellowknife,CA,62.456,-114.3525,59.52,55,20,5.75,few clouds
85,Komsomolskiy,UZ,40.4272,71.7189,75.92,41,16,2.3,few clouds
86,Kormilovka,RU,55.0026,74.1028,63.32,80,100,7.07,light rain
87,Krupanj,RS,44.3656,19.3619,59.61,91,76,3.89,light rain
88,Leningradskiy,RU,69.3833,178.4167,33.89,88,100,7.92,overcast clouds
89,Galena Park,US,29.7336,-95.2302,85.42,82,75,14.97,haze
90,Grand Gaube,MU,-20.0064,57.6608,73.38,60,93,5.01,overcast clouds
91,Mahudha,IN,22.8167,72.9333,87.98,55,91,11.48,overcast clouds
92,San Patricio,US,28.017,-97.5169,84.09,76,90,18.77,overcast clouds
93,Musoma,TZ,-1.5,33.8,66.36,83,46,6.44,scattered clouds
94,Aquiraz,BR,-3.9014,-38.3911,81.18,83,4,10.56,clear sky
95,Esperance,AU,-33.8667,121.9,58.84,71,84,16.22,broken clouds
96,Lompoc,US,34.6391,-120.4579,63.84,71,0,17.27,haze
97,Tirumullaivasal,IN,11.2333,79.8333,91.27,52,32,6.89,scattered clouds
98,Digha,IN,21.6833,87.55,90.1,69,84,16.62,broken clouds
99,Haderslev,DK,55.2538,9.4898,53.49,82,75,5.75,broken clouds
100,College,US,64.8569,-147.8028,76.06,28,40,6.91,smoke
101,Puerto Ayora,EC,-0.7393,-90.3518,71.55,93,72,5.17,broken clouds
102,Copiapo,CL,-27.3667,-70.3333,49.69,79,95,0.76,overcast clouds
103,Teacapan,MX,22.55,-105.75,79.97,73,84,5.86,broken clouds
104,Coahuayana,MX,18.7333,-103.6833,77.76,89,56,3.36,broken clouds
105,Quba,AZ,41.3626,48.5152,70.54,53,67,1.83,broken clouds
106,Tabuk,PH,17.4189,121.4443,88.61,65,73,6.4,broken clouds
107,Yumen,CN,40.2833,97.2,88.59,5,0,24.4,clear sky
108,Kumo,NG,10.0447,11.2122,78.82,69,98,7.4,overcast clouds
109,Marsh Harbour,BS,26.5412,-77.0636,80.64,83,9,10.85,clear sky
110,Otawara,JP,36.8667,140.0333,62.82,70,100,8.05,light rain
111,Thompson,CA,55.7435,-97.8558,69.96,40,40,3.44,scattered clouds
112,Rongcheng,CN,30.634,117.8517,87.76,51,1,8.1,clear sky
113,Nikolskoye,RU,59.7035,30.7861,56.8,88,78,0.56,broken clouds
114,Viljoenskroon,ZA,-27.2084,26.9485,46.81,55,100,7.92,overcast clouds
115,Nizhniy Odes,RU,63.6445,54.856,61.63,37,100,5.14,overcast clouds
116,Farmington,US,36.7281,-108.2187,83.08,11,0,18.41,clear sky
117,Alexandria,EG,31.2156,29.9553,71.56,83,40,5.75,scattered clouds
118,Georgetown,MY,5.4112,100.3354,87.73,81,20,4.61,few clouds
119,Namatanai,PG,-3.6667,152.4333,84.16,67,24,8.16,light rain
120,Polunochnoye,RU,60.8697,60.4153,63.19,51,51,2.37,broken clouds
121,Kudymkar,RU,59.0173,54.656,60.67,51,79,3.6,broken clouds
122,Cartagena Del Chaira,CO,1.3349,-74.8429,65.82,96,100,2.33,overcast clouds
123,Ilo,PE,-17.6394,-71.3375,59.36,86,85,2.46,overcast clouds
124,Inta,RU,66.0317,60.1659,58.59,35,53,1.14,broken clouds
125,Japura,ID,-0.3167,102.35,82.42,68,96,4.97,overcast clouds
